Symbol,Sector,Name of Security,Status,Action,Quantity|Face Value,Price,Timing,Fill Price,Fill Price is Average,Time and Date(ET),Last Activity Date(ET),Report Price,Report Time and Date (ET),Gain|Losss,Gain|Loss %
DODIX,,DODGE & COX INCOME I,Filled,Sell,20 Shares,Market,-,$12.39 ,No,9/11/2026 10:21,9/11/2026 20:40,,,,
MCK,,MCKESSON CORP,Filled,Sell,1 Shares,Limit $881.00,Day + ext,$881.00 ,No,9/11/2026 16:05,9/11/2026 16:05,,,,
M,,MACYS INC,Filled,Sell,22 Shares,Limit $22.00,Day + ext,$22.02 ,No,9/11/2026 16:04,9/11/2026 16:04,,,,
DG,,DOLLAR GEN CORP NEW,Filled,Sell,5 Shares,Limit $122.75,Day + ext,$123.45 ,No,9/11/2026 16:03,9/11/2026 16:03,,,,
META,,META PLATFORMS INC      CLASS                  A,Filled,Sell,1 Shares,Limit $647.05,Day + ext,$647.15 ,No,9/11/2026 16:02,9/11/2026 16:02,,,,
CAH,,CARDINAL HEALTH INC,Filled,Sell,2 Shares,Limit $230.07,Day + ext,$232.77 ,No,9/11/2026 16:01,9/11/2026 16:01,,,,
PBF,,PBF ENERGY INC          CLASS                  A,Filled,Sell,9 Shares,Limit $78.36,Day,$78.41 ,No,9/11/2026 15:59,9/11/2026 15:59,,,,
MINV,,MATTHEWS ASIA INNOVATORSACTIVE ETF,Filled,Sell,6 Shares,Limit $48.47,Day,$48.51 ,No,9/11/2026 10:09,9/11/2026 10:09,,,,
VRTX,,VERTEX PHARMACEUTICALS I,Filled,Sell,1 Shares,Limit $513.36,Day,$513.69 ,No,9/11/2026 10:06,9/11/2026 10:06,,,,
SYK,,STRYKER CORP,Filled,Sell,1 Shares,Limit $268.00,Day,$268.03 ,No,9/11/2026 10:03,9/11/2026 10:03,,,,
WDC,,WESTERN DIGITAL CORP,Filled,Sell,1 Shares,Limit $451.46,Day,$452.11 ,No,9/11/2026 10:00,9/11/2026 10:00,,,,
VZ,,VERIZON COMMUNICATIONS I,Filled,Buy,2 Shares,Limit $50.53,Day,$50.53 ,No,9/11/2026 9:59,9/11/2026 9:59,,,,
T,,AT&T INC,Filled,Buy,10 Shares,Limit $25.93,Day,$25.93 ,No,9/11/2026 9:58,9/11/2026 9:58,,,,
COR,,CENCORA INC             CLASS           SERIES A,Filled,Sell,2.0074 Shares,Limit $319.50,Day,$319.63 ,No,9/11/2026 9:55,9/11/2026 9:55,,,,
AMGN,,AMGEN INC,Filled,Sell,1 Shares,Limit $381.83,Day,$382.01 ,No,9/11/2026 9:52,9/11/2026 9:52,,,,
ADBE,,ADOBE INC,Filled,Sell,1 Shares,Limit $246.75,Day,$247.03 ,No,9/11/2026 9:51,9/11/2026 9:51,,,,
ABT,,ABBOTT LABS,Filled,Sell,4 Shares,Limit $102.76,Day,$102.82 ,No,9/11/2026 9:48,9/11/2026 9:48,,,,
NOC,,NORTHROP GRUMMAN CORP,Filled,Sell,1 Shares,Limit $518.53,Day,$518.84 ,No,9/11/2026 9:45,9/11/2026 9:45,,,,
KHC,,KRAFT HEINZ CO,Filled,Sell,22 Shares,Limit $24.25,Day,$24.26 ,No,9/11/2026 9:43,9/11/2026 9:43,,,,
WHR,,WHIRLPOOL CORP,Filled,Sell,2 Shares,Limit $35.55,Day,$35.60 ,No,9/11/2026 9:41,9/11/2026 9:41,,,,
BKNG,,BOOKING HLDGS INC,Filled,Sell,1 Shares,Limit $172.52,Day,$172.62 ,No,9/11/2026 9:40,9/11/2026 9:40,,,,
VRSK,,VERISK ANALYTICS INC    CLASS                  A,Filled,Sell,1 Shares,Limit $174.85,Day,$175.68 ,No,9/11/2026 9:39,9/11/2026 9:39,,,,
STX,,SEAGATE TECHNOLOGY H   F,Filled,Sell,1 Shares,Limit $850.30,Day,$850.30 ,No,9/11/2026 9:38,9/11/2026 9:38,,,,
SWSSX,,SCHWAB SMALL CAP INDEX,Filled,Sell,3 Shares,Market,-,$46.77 ,No,9/10/2026 13:42,9/10/2026 20:44,,,,
SFSNX,,SCHWAB FUNDAMENTAL US SMALL COMPANY IDX,Filled,Sell,7 Shares,Market,-,$21.73 ,No,9/10/2026 13:43,9/10/2026 20:43,,,,
SMH,,VANECK SEMICONDUCTOR    ETF,Filled,Sell,1 Shares,Limit $563.90,Day,$563.90 ,No,9/10/2026 12:58,9/10/2026 12:58,,,,
FXI,,ISHARES CHINA LARGE-CAP ETF,Filled,Sell,14 Shares,Limit $34.43,Day,$34.44 ,No,9/10/2026 12:57,9/10/2026 12:57,,,,
ATFV,,ALGER 35 ETF,Filled,Buy,10 Shares,Market,Day,$39.64 ,No,9/10/2026 11:28,9/10/2026 11:28,,,,
INTC,,INTEL CORP,Filled,Buy,1 Shares,Limit $100.00,GTC,$100.00 ,No,9/8/2026 20:05,9/10/2026 9:51,,,,
STX,,SEAGATE TECHNOLOGY H   F,Filled,Buy,1 Shares,Limit $860.00,GTC,$860.00 ,No,9/8/2026 20:07,9/10/2026 9:30,,,,
AAPL,,APPLE INC,Canceled,Buy,1 Shares,Limit $300.00,GTC,-,No,8/18/2026 11:09,9/10/2026 13:44,,,,
HPE,,HEWLETT PACKARD ENTERPRI,Canceled,Buy,2 Shares,Limit $48.00,GTC + ext,-,No,9/3/2026 16:32,9/10/2026 13:44,,,,
QQQ,,INVESCO QQQ TR,Canceled,Buy,1 Shares,Limit $650.00,GTC,-,No,6/29/2026 12:02,9/10/2026 13:44,,,,
SAABY,,SAAB AB                FUNSPONSORED ADR         1 ADR REPS  0.5  ORD SHS,Canceled,Buy,10 Shares,Limit $25.00,GTC,-,No,7/20/2026 20:49,9/10/2026 13:44,,,,
TQQQ,,PROSHARES ULTRAPRO QQQ,Canceled,Buy,2 Shares,Limit $50.00,GTC,-,No,6/29/2026 12:12,9/10/2026 13:44,,,,
ATFV,,ALGER 35 ETF,Canceled,Buy,10 Shares,Limit $37.00,GTC,-,No,8/9/2026 9:05,9/10/2026 11:28,,,,
MAXXF,,MAX PWR MNG CORP       F,Canceled,Sell,"1,000 Shares",Limit $1.65,GTC,-,No,6/5/2026 22:46,6/6/2026 11:08,,,,
