Energy Sector
BE|BLOOM ENERGY CORP A
BLDP|BALLARD PWR SYS INC
BP|BP P L C ADR
BSM|BLACK STONE MINERALS
CHRD|CHORD ENERGY CORP
CLMT|CALUMET INC EQUITY
CMI|CUMMINS INC
CNX|CNX RES CORP
COP|CONOCOPHILLIPS
CRK|COMSTOCK RES INC
CRPHY|CERES PWR HLDGS PLC ADR
CVI|CVR ENERGY INC
CVX|CHEVRON CORP NEW
DK|DELEK US HLDGS INC N
EQNR|EQUINOR ASA ADR
FCEL|FUELCELL ENERGY INC
IEP|ICAHN ENTERPRISES L
KWR|QUAKER HOUGHTON
LBRT|LIBERTY ENERGY INC A A
LNG|CHENIERE ENERGY INC
LNT|ALLIANT ENERGY CORP
MAXXF|MAX PWR MNG CORP
MPC|MARATHON PETE CORP
NRG|NRG ENERGY INC
PBF|PBF ENERGY INC A
PLUG|PLUG PWR INC
PRM|PERIMETER SOLUTIONS
PSX|PHILLIPS 66
SHEL|SHELL PLC ADR
SMERY|SIEMENS ENERGY AG ADR
SUN|SUNOCO LP
SUNC|SUNOCOCORP LLC
TRP|TC ENERGY CORP
VLO|VALERO ENERGY CORP N
VVV|VALVOLINE INC
XOM|EXXONMOBIL HLDGS COR
YPF|YPF SOCIEDAD ANONIMA D ADR
