Health Sector
ABBV|ABBVIE INC
ABT|ABBOTT LABS
ADMA|ADMA BIOLOGICS INC
ADUS|ADDUS HOMECARE CORP
AMGN|AMGEN INC
ANAB|ANAPTYSBIO INC
BMY|BRISTOL MYERS SQUIBB
BNTX|BIONTECH SE ADR
CDXS|CODEXIS INC
CI|THE CIGNA GROUP
CNC|CENTENE CORP DEL
CVS|CVS HEALTH CORP
DBVT|DBV TECHNOLOGIES S A ADR
DRNK|NOHO INC
EBS|EMERGENT BIOSOLUTION
ELV|ELEVANCE HEALTH INC
FUJIF|FUJIFILM HOLDINGS CO
GILD|GILEAD SCIENCES INC
HIMS|HIMS & HERS HEALTH I A
HUM|HUMANA INC
JNJ|JOHNSON & JOHNSON
KPTI|KARYOPHARM THERAPEUT
LLY|ELI LILLY AND CO
MGNX|MACROGENICS INC
MRK|MERCK & CO. INC.
MRNA|MODERNA INC
QURE|UNIQURE N V
STIM|NEURONETICS INC
SYK|STRYKER CORP
TEM|TEMPUS AI INC A
THC|TENET HEALTHCARE COR
UNH|UNITEDHEALTH GROUP I
XLV|State Street Health ETF
